iter	RMSE
0	21.0279584
1	20.97197921
2	20.87973877
3	20.83118336
4	20.71989026
5	20.65421184
6	20.57537944
7	20.51008972
8	20.42071856
9	20.34877366
10	20.30065566
11	20.2425462
12	20.21001562
13	20.16532363
14	20.1214184
15	20.0432741
16	19.96904825
17	19.89889577
18	19.8382193
19	19.76604734
20	19.70782324
21	19.65274312
22	19.59737554
23	19.50834738
24	19.45557268
25	19.38357316
26	19.32592827
27	19.28365069
28	19.20032346
29	19.12786842
30	19.07499283
31	19.0172613
32	18.96373258
33	18.91215858
34	18.84832562
35	18.8000228
36	18.70137789
37	18.63501364
38	18.55679245
39	18.50264309
40	18.45676374
41	18.40095367
42	18.33731462
43	18.30247494
44	18.23663438
45	18.16497706
46	18.09361227
47	18.04257233
48	17.97899997
49	17.92358715
50	17.8596298
51	17.79854076
52	17.74843617
53	17.69849678
54	17.66497916
55	17.60792269
56	17.56205874
57	17.50201965
58	17.45272376
59	17.40473639
60	17.34291971
61	17.29850193
62	17.23848326
63	17.20144892
64	17.15069887
65	17.10605699
66	17.04920365
67	17.00156706
68	16.96405519
69	16.92386934
70	16.85037969
71	16.81179908
72	16.75430172
73	16.72054473
74	16.66579845
75	16.61736037
76	16.54224404
77	16.47702437
78	16.4346009
79	16.37359324
80	16.3349954
81	16.29693656
82	16.24190537
83	16.20464454
84	16.17083763
85	16.11863043
86	16.05637292
87	16.00715386
88	15.99728932
89	15.94629178
90	15.89277986
91	15.85469176
92	15.81492601
93	15.76896889
94	15.76269532
95	15.70661397
96	15.65497217
97	15.61073413
98	15.57262215
99	15.52081401
100	15.50047333
101	15.44234854
102	15.39940773
103	15.33883286
104	15.29428274
105	15.21801363
106	15.16163345
107	15.113339
108	15.06645213
109	15.04624312
110	15.00465077
111	14.95549477
112	14.91278333
113	14.89381349
114	14.83545338
115	14.79676911
116	14.76052709
117	14.73828679
118	14.68502427
119	14.6265893
120	14.57192514
121	14.52465167
122	14.48261833
123	14.4503935
124	14.40477854
125	14.36968164
126	14.32133933
127	14.26407472
128	14.22830529
129	14.17922712
130	14.12351173
131	14.0882724
132	14.05305144
133	14.02452337
134	13.99237571
135	13.9699091
136	13.94404229
137	13.8897499
138	13.85040289
139	13.82336941
140	13.78083605
141	13.75199147
142	13.70791491
143	13.67657183
144	13.65647104
145	13.61399733
146	13.58436274
147	13.55600114
148	13.52331275
149	13.46749161
150	13.43572433
151	13.39813279
152	13.35937565
153	13.32059364
154	13.26875382
155	13.23093316
156	13.19155121
157	13.13972465
158	13.09886433
159	13.09060071
160	13.0727023
161	13.02748277
162	12.99940756
163	12.96345662
164	12.92991472
165	12.89983154
166	12.89062275
167	12.8554082
168	12.8148131
169	12.77437059
170	12.74647951
171	12.71152621
172	12.67719504
173	12.64197235
174	12.61421131
175	12.58947528
176	12.5416128
177	12.5069101
178	12.45818182
179	12.43203887
180	12.41291671
181	12.38611102
182	12.34417458
183	12.31289139
184	12.26826541
185	12.24382881
186	12.20826867
187	12.17184055
188	12.12664738
189	12.1029171
190	12.06992497
191	12.04336874
192	12.02091696
193	11.9954737
194	11.96956484
195	11.94613721
196	11.90563362
197	11.88046725
198	11.86267351
199	11.83161571
200	11.79452147
201	11.76038683
202	11.72438055
203	11.68286667
204	11.65253192
205	11.63502874
206	11.58867612
207	11.56047443
208	11.52603418
209	11.51970492
210	11.51400302
211	11.49090349
212	11.45872391
213	11.43654718
214	11.42118961
215	11.38634067
216	11.36590877
217	11.33713175
218	11.29176431
219	11.26711627
220	11.23723049
221	11.22650663
222	11.18725182
223	11.1450938
224	11.12953002
225	11.10781026
226	11.0672058
227	11.05354368
228	11.03365933
229	11.02407784
230	11.01188377
231	10.98858792
232	10.95369445
233	10.93540047
234	10.90171611
235	10.86612538
236	10.84163182
237	10.7910483
238	10.77035077
239	10.74147901
240	10.7080499
241	10.69795051
242	10.67664521
243	10.63918516
244	10.62920696
245	10.60981412
246	10.58233078
247	10.55598837
248	10.53497055
249	10.50703843
250	10.49982825
251	10.48059941
252	10.45955119
253	10.45400214
254	10.44964815
255	10.44381234
256	10.41677678
257	10.388846
258	10.34130752
259	10.30244204
260	10.27386086
261	10.23931388
262	10.21703147
263	10.19928516
264	10.18240941
265	10.14607565
266	10.12150844
267	10.09460368
268	10.0799825
269	10.06660494
270	10.03620535
271	10.00453278
272	9.978366438
273	9.960849936
274	9.927658043
275	9.907262422
276	9.874737205
277	9.844848737
278	9.815558606
279	9.790105307
280	9.75532448
281	9.730546069
282	9.698420371
283	9.666929808
284	9.648567509
285	9.619439245
286	9.594662336
287	9.580573177
288	9.57753073
289	9.542959267
290	9.528277651
291	9.502135477
292	9.499251344
293	9.478796972
294	9.456107433
295	9.451290584
296	9.436052335
297	9.393175616
298	9.371888449
299	9.361009891
300	9.335137808
301	9.310715876
302	9.296507806
303	9.291821221
304	9.265091719
305	9.250929438
306	9.219778494
307	9.204463252
308	9.18265816
309	9.133632201
310	9.096738627
311	9.07330915
312	9.052031561
313	9.029986214
314	8.997309231
315	8.970061427
316	8.932643107
317	8.899337964
318	8.875417721
319	8.854912663
320	8.815296187
321	8.801454166
322	8.776970829
323	8.74561787
324	8.731097529
325	8.704973941
326	8.691302253
327	8.668492012
328	8.655218541
329	8.62431073
330	8.613899109
331	8.591230271
332	8.564984676
333	8.550804791
334	8.530379193
335	8.527928452
336	8.525885074
337	8.506511936
338	8.475346237
339	8.4623614
340	8.435215668
341	8.398051376
342	8.38221094
343	8.360628372
344	8.348515348
345	8.32249773
346	8.299452001
347	8.268841491
348	8.266731403
349	8.250907784
350	8.239880879
351	8.22101543
352	8.192392557
353	8.181715937
354	8.16753648
355	8.164484914
356	8.147722022
357	8.137101551
358	8.111342633
359	8.076052754
360	8.056020124
361	8.038046539
362	8.016576758
363	7.996147366
364	7.982213919
365	7.956701359
366	7.931932885
367	7.914394945
368	7.912348591
369	7.900135613
370	7.881266591
371	7.869045106
372	7.845008875
373	7.827880806
374	7.810519468
375	7.783235685
376	7.764526707
377	7.751935847
378	7.729484137
379	7.709506238
380	7.693728688
381	7.671458443
382	7.651005376
383	7.635599279
384	7.63245334
385	7.622652251
386	7.605154205
387	7.582339251
388	7.561571615
389	7.548506073
390	7.544393097
391	7.522435727
392	7.515140853
393	7.512530742
394	7.486730675
395	7.478702
396	7.45890976
397	7.447207935
398	7.424125424
399	7.40781408
400	7.402351271
401	7.385731236
402	7.383932595
403	7.354883994
404	7.337160177
405	7.327052927
406	7.319835267
407	7.311199442
408	7.289473099
409	7.266687148
410	7.25261676
411	7.244418999
412	7.223230632
413	7.204771265
414	7.183662208
415	7.162964031
416	7.161249083
417	7.146874304
418	7.133258306
419	7.11789259
420	7.103142243
